CODMES,ID,DEFAULT,DEUDA_RCC,ATRASO_12M,CLASIFSBS,VARPASIVO_6_12,FLUJO_TRANSACCIONAL
201807,471304,0,1310544.825,0,0,0.816438168,0.091874087
201808,471304,0,1311187.275,0,0,0.69742542,0.152487518
201809,471304,0,1629947.58,0,0,0.755954472,0.071807838
201801,471304,0,999016.785,8,1,1.651382466,0.08892077
201810,471304,0,1256583.39,0,0,0.827472394,0.126165643
201811,471304,0,1254029.07,0,0,0.988406257,0.16512963
201812,471304,0,1236290.7,0,0,1.099501342,0.142062239
201801,483948,0,621139.02,4,0,0.811167774,0.123319247
201809,483948,0,256361.22,0,0,1.25498914,0.072387209
201808,483948,0,742879.2,3,0,1.213714386,0.126146541
201807,483948,0,913834.53,4,0,0.871630012,0.069921466
201806,483948,0,701845.08,0,0,0.66977677,0.10472967
201805,483948,0,787482.57,0,0,0.538979238,0.062035085
201804,483948,0,546324.975,0,0,0.54883859,0.067270941
201802,483948,0,600461.175,0,0,0.510164992,0.095735138
201803,483948,0,590797.59,0,0,0.514363008,0.12612007
201812,483948,0,807988.875,0,0,1.016405514,0.055116876
201811,483948,0,585869.385,1,0,1.277043377,0.065009571
201810,483948,0,426347.01,0,0,1.221519886,0.062904735
201803,490782,0,443709.495,0,0,0.966343991,0.056169285
201802,490782,0,466640.07,2,0,0.999403072,0.051461684
201804,490782,0,403942.965,0,0,0.875651411,0.048523446
201805,490782,0,373762.755,0,0,0.792264294,0.049799889
201806,490782,0,343122.675,0,0,0.740920969,0.053419014
201807,490782,0,310449.915,0,0,0.728134958,0.051322638
201808,490782,0,288906.825,7,1,0.697182363,0.050879977
201809,490782,0,250943.895,6,0,0.692443936,0.052650319
201801,490782,0,515578.17,0,1,1.045270014,0.051941929
201810,490782,0,217990.455,0,0,0.694832163,0.050281631
201801,500962,1,10032250.16,6,1,0.420966009,0.044532934
201806,500962,1,9944978.355,12,1,0.940828392,0.045986371
201805,500962,1,9979019.07,13,1,0.731020415,0.055687149
201804,500962,1,10014028.65,7,1,0.515924871,0.045033037
201802,500962,1,10015181.63,28,1,0.39480528,0.041110353
201803,500962,1,10002504.27,19,1,0.445010482,0.063327506
201803,506968,0,87841.605,0,0,0.810275994,0.098958612
201802,506968,0,96932.91,0,0,0.850856688,0.098486765
201804,506968,0,81059.76,0,0,0.873600531,0.106393423
201805,506968,0,71332.32,0,0,0.968382953,0.082659387
201806,506968,0,69922.77,0,0,1.039396182,0.084297045
201807,506968,0,63123.93,0,0,1.075267936,0.11196324
201809,506968,0,60362.115,0,0,1.04555498,0.08647003
201808,506968,0,54414.525,0,0,1.052266189,0.09267861
201801,506968,0,118466.34,0,0,0.834519732,0.106544239
201810,506968,0,56466.15,0,0,0.979799468,0.101885375
201811,506968,0,41933.97,0,0,0.915639356,0.094476226
201812,506968,0,35796.975,0,0,0.921272932,0.093156341
201801,523072,0,3719123.625,0,0,1.901695876,0.15437457
201808,523072,0,3440991.99,0,0,0.107262007,0.198006873
201809,523072,0,3407899.785,0,0,0.12673679,0.201151203
201807,523072,0,3482173.845,0,0,0.145676904,0.269140894
201806,523072,0,3560427.84,0,0,0.172361298,0.182268041
201805,523072,0,3599460.18,0,0,0.404285577,0.221883162
201804,523072,0,3636433.245,0,0,0.746650975,0.223848797
201802,523072,0,3697551.57,0,0,1.56968845,0.533505155
201803,523072,0,3681874.98,0,0,1.15395047,0.333934708
201812,523072,0,3317812.695,0,0,0.795860962,0.215189003
201811,523072,0,3358110.27,0,0,0.330969844,0.184948454
201810,523072,0,3345536.535,0,0,0.195680748,0.149037801
201803,526728,0,3450847.77,0,0,0.39468657,0.020264088
