CODMES,ID,SECTOR_ECONÓMICO
201803,15419784,Minería
201801,15419784,Minería
201802,15419784,Minería
201811,15419784,Minería
201812,15419784,Minería
201810,15419784,Minería
201809,15419784,Minería
201802,15419802,Ind. Manufacturera
201801,15419802,Ind. Manufacturera
201803,15419802,Ind. Manufacturera
201804,15419802,Ind. Manufacturera
201807,15419802,Ind. Manufacturera
201808,15419802,Ind. Manufacturera
201805,15419802,Ind. Manufacturera
201806,15419802,Ind. Manufacturera
201809,15419802,Ind. Manufacturera
201810,15419802,Ind. Manufacturera
201812,15419802,Ind. Manufacturera
201811,15419802,Ind. Manufacturera
201806,15421824,Ind. Manufacturera
201805,15421824,Ind. Manufacturera
201808,15421824,Ind. Manufacturera
201804,15421824,Ind. Manufacturera
201803,15421824,Ind. Manufacturera
201803,15425768,"Transp, Almac y Com."
201804,15425768,"Transp, Almac y Com."
201801,15425768,"Transp, Almac y Com."
201802,15425768,"Transp, Almac y Com."
201808,15425768,"Transp, Almac y Com."
201807,15425768,"Transp, Almac y Com."
201805,15425768,"Transp, Almac y Com."
201806,15425768,"Transp, Almac y Com."
201811,15425768,"Transp, Almac y Com."
201812,15425768,"Transp, Almac y Com."
201810,15425768,"Transp, Almac y Com."
201809,15425768,"Transp, Almac y Com."
201812,15428858,Ind. Manufacturera
201811,15428858,Ind. Manufacturera
201806,15431762,Comercio
201805,15431762,Comercio
201807,15431762,Comercio
201808,15431762,Comercio
201802,15431762,Comercio
201801,15431762,Comercio
201804,15431762,Comercio
201803,15431762,Comercio
201811,15431762,Comercio
201812,15431762,Comercio
201809,15431762,Comercio
201810,15431762,Comercio
201803,15441394,Ganadería
201804,15441394,Ganadería
201801,15441394,Ganadería
201802,15441394,Ganadería
201808,15441394,Ganadería
201807,15441394,Ganadería
201805,15441394,Ganadería
201806,15441394,Ganadería
201810,15441394,Ganadería
201809,15441394,Ganadería
201812,15441394,Ganadería
201811,15441394,Ganadería
201806,15442200,Ind. Manufacturera
201805,15442200,Ind. Manufacturera
201807,15442200,Ind. Manufacturera
201808,15442200,Ind. Manufacturera
201802,15442200,Ind. Manufacturera
201801,15442200,Ind. Manufacturera
201804,15442200,Ind. Manufacturera
201803,15442200,Ind. Manufacturera
201811,15442200,Ind. Manufacturera
201812,15442200,Ind. Manufacturera
201809,15442200,Ind. Manufacturera
201810,15442200,Ind. Manufacturera
201803,15452314,Agricultura
201804,15452314,Agricultura
201801,15452314,Agricultura
201802,15452314,Agricultura
201808,15452314,Agricultura
201807,15452314,Agricultura
201805,15452314,Agricultura
201806,15452314,Agricultura
201810,15452314,Agricultura
201809,15452314,Agricultura
201812,15452314,Agricultura
201811,15452314,Agricultura
201806,15453102,Act. Inmob. Emp y Alquiler
201805,15453102,Act. Inmob. Emp y Alquiler
201807,15453102,Act. Inmob. Emp y Alquiler
201808,15453102,Act. Inmob. Emp y Alquiler
201802,15453102,Act. Inmob. Emp y Alquiler
201801,15453102,Act. Inmob. Emp y Alquiler
201804,15453102,Act. Inmob. Emp y Alquiler
201803,15453102,Act. Inmob. Emp y Alquiler
201811,15453102,Act. Inmob. Emp y Alquiler
201812,15453102,Act. Inmob. Emp y Alquiler
201809,15453102,Act. Inmob. Emp y Alquiler
201810,15453102,Act. Inmob. Emp y Alquiler
201803,15456210,Act. Inmob. Emp y Alquiler
201804,15456210,Act. Inmob. Emp y Alquiler
201801,15456210,Act. Inmob. Emp y Alquiler
201802,15456210,Act. Inmob. Emp y Alquiler
201808,15456210,Act. Inmob. Emp y Alquiler
201807,15456210,Act. Inmob. Emp y Alquiler
201805,15456210,Act. Inmob. Emp y Alquiler
201806,15456210,Act. Inmob. Emp y Alquiler
201810,15456210,Act. Inmob. Emp y Alquiler
201809,15456210,Act. Inmob. Emp y Alquiler
201812,15456210,Act. Inmob. Emp y Alquiler
201811,15456210,Act. Inmob. Emp y Alquiler
201802,15456942,Construcción
201801,15456942,Construcción
201801,15465180,Act. Inmob. Emp y Alquiler
201801,15465430,Ind. Manufacturera
201802,15465430,Ind. Manufacturera
201804,15465430,Ind. Manufacturera
201803,15465430,Ind. Manufacturera
201806,15465430,Ind. Manufacturera
201805,15465430,Ind. Manufacturera
201807,15465430,Ind. Manufacturera
201808,15465430,Ind. Manufacturera
201811,15465430,Ind. Manufacturera
201812,15465430,Ind. Manufacturera
201809,15465430,Ind. Manufacturera
201810,15465430,Ind. Manufacturera
201808,15466670,Hoteles y Restaurantes
201807,15466670,Hoteles y Restaurantes
201805,15466670,Hoteles y Restaurantes
201806,15466670,Hoteles y Restaurantes
201803,15466670,Hoteles y Restaurantes
201804,15466670,Hoteles y Restaurantes
201802,15466670,Hoteles y Restaurantes
201801,15466670,Hoteles y Restaurantes
201810,15466670,Hoteles y Restaurantes
201809,15466670,Hoteles y Restaurantes
201812,15466670,Hoteles y Restaurantes
201811,15466670,Hoteles y Restaurantes
201801,15469046,Minería
201802,15469046,Minería
201804,15469046,Minería
201803,15469046,Minería
201805,15469046,Minería
201805,15470018,Comercio
201806,15470018,Comercio
201807,15470018,Comercio
201808,15470018,Comercio
201803,15470018,Comercio
201804,15470018,Comercio
201802,15470018,Comercio
201801,15470018,Comercio
201811,15470018,Comercio
201812,15470018,Comercio
201809,15470018,Comercio
201810,15470018,Comercio
201801,15474234,"Transp, Almac y Com."
201802,15474234,"Transp, Almac y Com."
201804,15474234,"Transp, Almac y Com."
201803,15474234,"Transp, Almac y Com."
201808,15474234,"Transp, Almac y Com."
201807,15474234,"Transp, Almac y Com."
201806,15474234,"Transp, Almac y Com."
201805,15474234,"Transp, Almac y Com."
201810,15474234,"Transp, Almac y Com."
